,"Active Status","Customer","Balance","Balance Total","Company","Mr./Ms./...","First Name","M.I.","Last Name","Primary Contact","Main Phone","Fax","Alt. Phone","Secondary Contact","Job Title","Main Email","Bill to 1","Bill to 2","Bill to 3","Bill to 4","Bill to 5","Ship to 1","Ship to 2","Ship to 3","Ship to 4","Ship to 5","Customer Type","Terms","Rep","Sales Tax Code","Tax item","Resale Num","Account No.","Credit Limit","Job Status","Job Type","Job Description","Start Date","Projected End","End Date"
,"Active","Jane's Consulting of Amish Furniture",0.00,0.00,"Jane's Consulting of Amish Furniture",,,,,,,,,,,,"Jane's Consulting of Amish Furniture","1642 State Highway 9","Decorah, IA 52101",,,"Jane's Consulting of Amish Furniture","1642 State Highway 9","Decorah, IA 52101",,,,,,"Non",,,,"",,,,,,
,"Active","JM Stoltzfus Furniture, LLC",0.00,0.00,"JM Stoltzfus Furniture, LLC",,,,,,,,,,,,"JM Stoltzfus Furniture, LLC","220 September Road","Honey Brok, PA 19344",,,"JM Stoltzfus Furniture, LLC","220 September Road","Honey Brok, PA 19344",,,,,,"Non",,,,"",,,,,,
,"Active","JMX International",34615.00,34615.00,"JMX International",,,,,,,,,,,"gwen@jmxbrands.com","JMX International","3709 N Lockwood Ridge Road","Sarasota, FL 34234",,,"JMX International","3709 N Lockwood Ridge Road","Sarasota, FL 34234",,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","John Bachman",0.00,0.00,"John Bachman",,,,,,,,,,,,"John Bachman","15156 County Road 22","Goshen, IN 46528",,,"John Bachman","15156 County Road 22","Goshen, IN 46528",,,,,,"Non",,,,"",,,,,,
,"Active","John Birrenbach",0.00,0.00,"John Birrenbach",,,,,,,,,,,,"John Birrenbach","18185 N Lake Ln","Pine City, MN 55063",,,"John Birrenbach","18185 N Lake Ln","Pine City, MN 55063",,,,,,"Non",,,,"",,,,,,
,"Active","Junice Severson Estate",0.00,0.00,"Junice Severson Estate",,,,,,,,,,,,"Junice Severson Estate","215 2nd St SE","Harmony, MN 55939",,,,,,,,,,,,,,,"",,,,,,
,"Active","Kari Miller-Cameron",0.00,0.00,"Kari Miller-Cameron",,,,,,,,,,,,"Kari Miller-Cameron","N4W22496 Bluemound Road","Waukesha, WI 53186",,,"Kari Miller-Cameron","N4W22496 Bluemound Road","Waukesha, WI 53186",,,,,,"Non",,,,"",,,,,,
,"Active","KC Handcrafted Amish Furniture",80.00,80.00,"KC Handcrafted SAmish Furniture",,,,,,,,,,,,"KC Handcrafted SAmish Furniture","1826 Huntsboro Lane SW","Cedar Rapids, IA 52404",,,"KC Handcrafted SAmish Furniture","1826 Huntsboro Lane SW","Cedar Rapids, IA 52404",,,,,,"Non",,,,"",,,,,,
,"Active","Keystone Trucking",0.00,0.00,"Keystone Trucking",,,,,,,,,,,,"Keystone Trucking","650 Houlztown Road","Myerstown, PA 17067",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Keystone Wood Design",1650.00,1650.00,"Keystone Wood Design",,,,,,,,,,,,"Keystone Wood Design","253 S Buel Road","Canajoharie, NY 13317",,,"Keystone Wood Design","253 S Buel Road","Canajoharie, NY 13317",,,,,,"Non",,,,"",,,,,,
,"Active","Lapp's Toys & Furniture",0.00,0.00,"Lapp's Toys & Furniture",,,,,,,,,,,,"Lapp's Toys & Furniture","2220 Horseshoe Road","Lancaster, PA 17601",,,"Lapp's Toys & Furniture","2220 Horseshoe Road","Lancaster, PA 17601",,,,,,"Non",,,,"",,,,,,
,"Active","Leon Beiler",0.00,0.00,"Leon Beiler",,,,,,,,,,,,"Leon Beiler","2205 County Road 168","Dundee, OH 44624",,,"Leon Beiler","2205 County Road 168","Dundee, OH 44624",,,,,,"Non",,,,"",,,,,,
,"Active","Long Lane Furniture",0.00,0.00,"Long Lane Furniture",,,,,,,,,,,,"Long Lane Furniture","0700 S State Route 5","Shipshewana, IN 46565",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Loren Yoder",0.00,0.00,"Loren Yoder",,,,,,,,,,,,"Loren Yoder","6230 S 200 W","Wolcottville, IN 46795",,,"Loren Yoder","6230 S 200 W","Wolcottville, IN 46795",,,,,,"Non",,,,"",,,,,,
,"Active","M & V Finishing",0.00,0.00,"M & V Finishing",,,,,,,,,,,,"M & V Finishing","1185 W US 20","Lagrange, IN 46761",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","M Brands",750.00,750.00,"M Brands",,,,,,,,,,,,"M Brands","4603 Brookridge Drive","Pittsboro, IN 46167",,,"M Brands","4603 Brookridge Drive","Pittsboro, IN 46167",,,,,,"Non",,,,"",,,,,,
,"Active","Manasses Henry Furniture",0.00,0.00,"Manasses Henry Furniture",,,,,,,,,,,,"Manasses Henry Furniture","53693 County Road 37","Middlebury, IN 46570",,,"Manasses Henry Furniture","53693 County Road 37","Middlebury, IN 46570",,,,,,"Non",,,,"",,,,,,
,"Active","Mary Jane's Solid Oak Furniture",0.00,0.00,"Mary Jane's Solid Oak Furniture",,,,,,,,,,,,"Mary Jane's Solid Oak Furniture","5170 Chain of Rocks Rd","Edwardsville, IL 62025",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Mattie Lu",0.00,0.00,"Mattie Lu",,,,,,,,,,,,"Mattie Lu","PO Box 487","Coleman, TX 76834",,,"Mattie Lu","PO Box 487","Coleman, TX 76834",,,,,,"Non",,,,"",,,,,,
,"Active","McGowans Inc",0.00,0.00,"McGowans Inc",,,,,,,,,,,,"McGowans Inc","3754 Airline Hwy W","Waterloo, IA 50703",,,"McGowans Inc","3754 Airline Hwy W","Waterloo, IA 50703",,,,,,"Non",,,,"",,,,,,
,"Active","Meadowview Backyard Furniture",0.00,0.00,"Meadowview Backyard Furniture",,,,,,,,,,,,"Meadowview Backyard Furniture","6565 W 200 S","Topeka, IN 46571",,,"Meadowview Backyard Furniture","6565 W 200 S","Topeka, IN 46571",,,,,,"Non",,,,"",,,,,,
,"Active","Misc Vendors",-0.20,-0.20,,,,,,,,,,,,,"Misc Vendors",,,,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Mission Bungalow",475.00,475.00,"Mission Bungalow",,,,,,,,,,,,"Mission Bungalow","1656 County Road E East, Ste 110","White Bear Lake, MN 55110",,,"Mission Bungalow","1656 County Road E East, Ste 110","White Bear Lake, MN 55110",,,,,,"Non",,,,"",,,,,,
,"Active","Morem Electric Inc",0.00,0.00,"Morem Electric Inc",,,,,,,,,,,,"Morem Electric Inc","715 Main Ave N","Harmony, MN 55939",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Naked Furniture",0.00,0.00,"Naked Furniture",,,,,,,,,,,,"Naked Furniture","16300 W Glendale Dr","New Berlin, WI 53151",,,"Naked Furniture","16300 W Glendale Dr","New Berlin, WI 53151",,,,,,"Non",,,,"",,,,,,
,"Active","New Hickory Wholesale",0.00,0.00,"New Hickory Wholesale",,,,,,,,,,,"newhickory@comcast.net","New Hickory Wholesale","5609 SW 14th Place","Cape Coral, FL 33914",,,"New Hickory Wholesale","5609 SW 14th Place","Cape Coral, FL 33914",,,,,,"Non",,,,"",,,,,,
,"Active","Northwood Finishing",0.00,0.00,"Northwood Finishing",,,,,,,,,,,,"Northwood Finishing","6825 W 450 N","Shipshewana, IN 46565",,,"Northwood Finishing","6825 W 450 N","Shipshewana, IN 46565",,,,,,"Non",,,,"",,,,,,
,"Active","Ohio Hardwood Furniture",0.00,0.00,"Ohio Hardwood Furniture",,,,,,,,,,,,"Ohio Hardwood Furniture","9399 Lattasburg Road","West Salem, OH 44287",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Old Mill House Shop",0.00,0.00,"Old Mill House Shop",,,,,,"717-299-0678",,,,,,"Old Mill House Shop","105 Strawsburg Pike","Lancaster, PA 17602",,,"Old Mill House Shop","105 Strawsburg Pike","Lancaster, PA 17602",,,,,,"Non",,,,"",,,,,,
,"Active","Olde Brick House",0.00,0.00,"Olde Brick House",,,,,,,,,,,,"Olde Brick House","66 N Main St","Waynesville, NC 28786",,,"Olde Brick House","66 N Main St","Waynesville, NC 28786",,,,,,"Non",,,,"",,,,,,
,"Active","Ona's This & That Shop",0.00,0.00,"Ona's This & That Shop",,,,,,"570-833-4678",,,,,,"Ona's This & That Shop","3271 State Route 267","Meshoppen, PA 18630",,,"Ona's This & That Shop","3271 State Route 267","Meshoppen, PA 18630",,,,,,"Non",,,,"",,,,,,
,"Active","Online Amish Furniture",0.00,0.00,"Online Amish Furniture",,,,,,,,,,,,"Online Amish Furniture","53607 Lakewood Ct","Shelby Township, MI 48315",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Our American Heritage",0.00,0.00,"Our American Heritage",,,,,,,"610-695-0980",,,,,"Our American Heritage","3553 West Chester Pike","Store 153","Newtown Square, PA 19073",,"Our American Heritage","3553 West Chester Pike","Store 153","Newtown Square, PA 19073",,,,,,,,,"",,,,,,
,"Active","Peaceful Valley Furniture",0.00,0.00,"Peaceful Valley Furniture",,,,,,,,,,,,"Peaceful Valley Furniture","PO Box 480","Intercourse, PA 17534",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Peachey's Rustic Furniture",0.00,0.00,"Peachey's Rustic Furniture",,,,,,"717-483-6633",,,,,,"Peachey's Rustic Furniture","268 Long Lane Road","Belleville, PA 17004",,,"Peachey's Rustic Furniture","268 Long Lane Road","Belleville, PA 17004",,,,,,"Non",,,,"",,,,,,
,"Active","Peachey Bulk Foods",0.00,0.00,"Peachey Bulk Foods",,,,,,,,,,,,"Peachey Bulk Foods","2660 S US Hwy 41","Rockville, IN 47872",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","PHS Office Solutions, LLC",0.00,0.00,"PHS Office Solutions, LLC",,,,,,,,,,,,"PHS Office Solutions, LLC","207 Park Road","Carnegie, PA 15106",,,"PHS Office Solutions, LLC","207 Park Road","Carnegie, PA 15106",,,,,,"Non",,,,"",,,,,,
,"Active","Pine Hill Woodworking",0.00,0.00,"Pine Hill Woodworking",,,,,,,,,,,,"Pine Hill Woodworking","1250 W 200 S","Lagrange, IN 46761",,,"Pine Hill Woodworking","1250 W 200 S","Lagrange, IN 46761",,,,,,"Non",,,,"",,,,,,
,"Active","Pinecraft,com",0.00,0.00,"Pinecraft.com",,,,,,,,,,,,"Pinecraft.com","9910 Laurel Valley Avenue Circle","Bradenton, FL 34202",,,"Pinecraft.com","9910 Laurel Valley Avenue Circle","Bradenton, FL 34202",,,,,,"Non",,,,"",,,,,,
,"Active","Pleasant View Furniture",0.00,0.00,"Pleasant View Furniture",,,,,,,,,,,,"Pleasant View Furniture","3599 US Route 62","Dundee, OH 44624",,,"Pleasant View Furniture","3599 US Route 62","Dundee, OH 44624",,,,,,"Non",,,,"",,,,,,
,"Active","Poor Boy Woodworks, INC",0.00,0.00,"Poor Boy Woodworks, INC",,,,,,,,,,,,"Poor Boy Woodworks, INC","3075 Shattuck, PMB 727","Saginaw, MI 48603",,,"Poor Boy Woodworks, INC","3075 Shattuck, PMB 727","Saginaw, MI 48603",,,,,,"Non",,,,"",,,,,,
,"Active","Primitive Design",0.00,0.00,"Primitive Design",,,,,,,,,,,,"Primitive Design","7044 County Road 201","Millersbuerg, OH 44654",,,"Primitive Design","7044 County Road 201","Millersbuerg, OH 44654",,,,,,"Non",,,,"",,,,,,
,"Active","Pumpkin Patch Market Inc",0.00,0.00,"Pumpkin Patch Market Inc",,,,,,,,,,,,"Pumpkin Patch Market Inc","10532 US 20","Middlebury, IN 46540",,,"Pumpkin Patch Market Inc","10532 US 20","Middlebury, IN 46540",,,,,,"Non",,,,"",,,,,,
,"Active","Quality Woods Furniture",9020.00,9020.00,"Quality Wood Furniture",,,,,,,,,,,,"Quality Wood Furniture","1432 Hwy 52 NW Frontage Rd","Rochester, MN 55901",,,"Quality Wood Furniture","1432 Hwy 52 NW Frontage Rd","Rochester, MN 55901",,,,,,"Non",,,,"",,,,,,
,"Active","Real Amish",0.00,0.00,"Real Amish",,,,,,,,,,,,"Real Amish","28120 SW Boberg Road","Wilsonville, OR 97070",,,"Real Amish","28120 SW Boberg Road","Wilsonville, OR 97070",,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Richard Miller",0.00,0.00,"Richard Miller",,,,,,,,,,,,"Richard Miller","5275 W 700 S","Topeka, IN 46571",,,"Richard Miller","5275 W 700 S","Topeka, IN 46571",,,,,,"Non",,,,"",,,,,,
,"Active","RJ Amish Furniture",0.00,0.00,"RJ Amish Furniture",,,,,,,,,,,,"RJ Amish Furniture","590 Main Ave N","Harmony, MN 55939",,,"RJ Amish Furniture","590 Main Ave N","Harmony, MN 55939",,,,,,"Non",,,,"",,,,,,
,"Active","Rockwood Furniture Co",0.00,0.00,"Rockwood Furniture Co",,,,,,,,,,,,"Rockwood Furniture Co","11570 I-27","Armarillo, TX 79119",,,"Rockwood Furniture Co","11570 I-27","Armarillo, TX 79119",,,,,,"Non",,,,"",,,,,,
,"Active","Rocky Road Finishing",0.00,0.00,"Rocky Road Finishing",,,,,,,,,,,,"Rocky Road Finishing","3620 S 900 W","Topeka, IN 46571",,,"Rocky Road Finishing","3620 S 900 W","Topeka, IN 46571",,,,,,"Non",,,,"",,,,,,
,"Active","Rustic Comforts",0.00,0.00,"Rustic Comforts",,,,,,,,,,,,"Rustic Comforts","HC 82 Box 1283","Duck Creek Village, UT 84762",,,"Rustic Comforts","HC 82 Box 1283","Duck Creek Village, UT 84762",,,,,,"Non",,,,"",,,,,,
,"Active","Salt Creek Chairs",0.00,0.00,"Salt Creek Chairs",,,,,,,,,,,,"Salt Creek Chairs","7337 Salt Creek Rd","Fredericksburg, OH 44627",,,"Salt Creek Chairs","7337 Salt Creek Rd","Fredericksburg, OH 44627",,,,,,"Non",,,,"",,,,,,
,"Active","Saybrook Country Barn",0.00,0.00,"Saybrook Country Barn",,,,,,,,,,,,"Saybrook Country Barn","2 Main St","Old Saybrook, CT 06475",,,"Saybrook Country Barn","2 Main St","Old Saybrook, CT 06475",,,,,,"Non",,,,"",,,,,,
,"Active","Scenic View Furniture",0.00,0.00,"Scenic View Furniture",,,,,,,,,,,,"Scenic View Furniture","380 Keneagy Hill Road","Ronks, PA 17572-9526",,,"Scenic View Furniture","380 Keneagy Hill Road","Ronks, PA 17572-9526",,,,,,"Non",,,,"",,,,,,
,"Active","Schmucker Botanicals",0.00,0.00,"Schmucker Botanicals",,,,,,,,,,,,"Schmucker Botanicals","14648 202nd St","Bloomfield, IA 52537",,,"Schmucker Botanicals","14648 202nd St","Bloomfield, IA 52537",,,,,,"Non",,,,"",,,,,,
,"Active","Schrock's Heritage Furniture",0.00,0.00,"Schrock's Heritage Furniture",,,,,,,,,,,,"Schrock's Heritage Furniture","PO Box 358","Berlin, OH 44610",,,"Schrock's Heritage Furniture","PO Box 358","Berlin, OH 44610",,,,,,"Non",,,,"",,,,,,
,"Active","Seraph",0.00,0.00,"Seraph",,,,,,,,,,,,"Seraph","420 Main St","Sturbridge, MA 01566",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Shaker Furniture of Maine",0.00,0.00,"Shaker Furniture of Maine",,,,,,,,,,,,"Shaker Furniture of Maine","715 US Route One","Scarborough, ME 04074",,,"Shaker Furniture of Maine","715 US Route One","Scarborough, ME 04074",,,,,,"Non",,,,"",,,,,,
,"Active","Silverline, Inc",0.00,0.00,"Silverline, Inc",,,,,,,,,,,,"Silverline, Inc","10635 County Road 28","Middlebury, IN 46540",,,"Silverline, Inc","10635 County Road 28","Middlebury, IN 46540",,,,,,"Non",,,,"",,,,,,
,"Active","Smucker Woodworking",0.00,0.00,"Smucker Woodworking",,,,,,,,,,,,"Smucker Woodworking","1614 Rawlinsville Road","Holtwood, PA 17532",,,"Smucker Woodworking","1614 Rawlinsville Road","Holtwood, PA 17532",,,,,,"Non",,,,"",,,,,,
,"Active","Spring Valley Woodworking",0.00,0.00,"Spring Valley Woodworking",,,,,,,,,,,,"Spring Valley Woodworking","3806-C Yost Road","Gordonville, PA 17529",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Stark Wood Furniture",0.00,0.00,"Stark Wood Furniture",,,,,,,,,,,,"Stark Wood Furniture","7590 Broadway","Merrillville, IN 46410",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Stone Barn Furniture",0.00,0.00,"Stone Barn Furniture",,,,,,,,,,,,"Stone Barn Furniture","PO Box 15","Mt Hope, OH 44660",,,"Stone Barn Furniture","PO Box 15","Mt Hope, OH 44660",,,,,,"Non",,,,"",,,,,,
,"Active","Superior Woodcrafts",0.00,0.00,"Superior Woodcrafts",,,,,,,,,,,,"Superior Woodcrafts","112 Industrial Parkway E","Middlebury, IN 46540",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","TFL - Trinity Furniture Logistic",0.00,0.00,"TFL - Trinity Furniture Logistic",,,,,,,,,,,,"TFL - Trinity Furniture Logistic","PO Box 7","Lagrange, IN 46761",,,"TFL - Trinity Furniture Logistic","PO Box 7","Lagrange, IN 46761",,,,,,"Non",,,,"",,,,,,
,"Active","The Amish Craftman",0.00,0.00,"The Amish Craftman",,,,,,,,,,,,"The Amish Craftman","5555 Washington Ave, Suite M","Houston, TX 77007",,,"The Amish Craftman","5555 Washington Ave, Suite M","Houston, TX 77007",,,,,,"Non",,,,"",,,,,,
,"Active","The Amish Furniture Shop",0.00,0.00,"The Amish Furniture Shop",,,,,,,,,,,,"The Amish Furniture Shop","6807 W 159th St","Tinley Park, IL 60477",,,"The Amish Furniture Shop","6807 W 159th St","Tinley Park, IL 60477",,,,,,"Non",,,,"",,,,,,
,"Active","The Conrad Grebel Collection",0.00,0.00,"The Conrad Grebel Collections",,,,,,"574-534-5036",,,,,,"The Conrad Grebel Collections","109 E Clinton Suite 5","Goshen, IN 46528",,,"The Conrad Grebel Collections","109 E Clinton Suite 5","Goshen, IN 46528",,,,,,"Non",,,,"",,,,,,
,"Active","The Organic Matress Store",0.00,0.00,"The Organic Matress Store",,,,,,,,,,,,"The Organic Matress Store","1075 Main St","Hellertown, PA 18055",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","The Vintage Arror",0.00,0.00,"The Vintage Arrow",,,,,,,,,,,,"The Vintage Arrow","12158 County Road 24","Middlebury, IN  46540",,,"The Vintage Arrow","12158 County Road 24","Middlebury, IN 46540",,,,,,"Non",,,,"",,,,,,
,"Active","The Woods Fine Amish Furniture",0.00,0.00,"The Woods Fine Amish Furniture",,,,,,,,,,,,"The Woods Fine Amish Furniture","435 W Broadway Ste 1","Plainview, MN 55964",,,"The Woods Fine Amish Furniture","435 W Broadway Ste 1","Plainview, MN 55964",,,,,,"Non",,,,"",,,,,,
,"Active","Three Sisters Furnishings",0.00,0.00,"Three Sisters Furnishings",,,,,,,,,,,,"Three Sisters Furnishings","2550 Hwy 9 NE","New London, MN 56273",,,"Three Sisters Furnishings","2550 Hwy 9 NE","New London, MN 56273",,,,,,"Non",,,,"",,,,,,
,"Active","Timber Creek Furniture",350.00,350.00,"Timber Creek Furniture",,,,,,,,,,,,"Timber Creek Furniture","900 Homestead Lane","Chanhassen, MN 55317",,,"Timber Creek Furniture","900 Homestead Lane","Chanhassen, MN 55317",,,,,,"Non",,,,"",,,,,,
,"Active","TMV Enterprises",0.00,0.00,"TMV Enterprises",,,,,,,,,,,,"TMV Enterprises","116 St Andrews Trail","Fontana, WI 53125",,,"TMV Enterprises","116 St Andrews Trail","Fontana, WI 53125",,,,,,"Non",,,,"",,,,,,
,"Active","Topeka Innovative Concepts",0.00,0.00,"Topeka Innovative Concepts",,,,,,,,,,,,"Topeka Innovative Concepts","422 Nature Trail","Topeka, IN 46571",,,"Topeka Innovative Concepts","422 Nature Trail","Topeka, IN 46571",,,,,,"Non",,,,"",,,,,,
,"Active","Town & Country Furniture",900.00,900.00,"Town & Country Furniture",,,,,,,,,,,,"Town & Country Furniture","7412 Massillon Road","Navarre, OH 44662",,,"Town & Country Furniture","7412 Massillon Road","Navarre, OH 44662",,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Trinity Furniture Logistics",0.00,0.00,,,,,,,,,,,,,"Trinity Furniture Logistics","PO Box 7","Lagrange, IN 46761",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Troyer Furniture",0.00,0.00,"Troyer Furniture",,,,,,,,,,,,"Troyer Furniture","985 W Main St","Sugarcreek, OH 44681",,,"Troyer Furniture","985 W Main St","Sugarcreek, OH 44681",,,,,,"Non",,,,"",,,,,,
,"Active","True Wood Furniture",0.00,0.00,"True Wood Furniture",,,,,,,,,,,,"True Wood Furniture","607 Strasburg Road","Paradise, PA 17562",,,"True Wood Furniture","607 Strasburg Road","Paradise, PA 17562",,,,,,"Non",,,,"",,,,,,
,"Active","Unique Amish Furniture",0.00,0.00,"Unique Amish Furniture",,,,,,"540-212-7773",,,,,,"Unique Amish Furniture","32 Sandstone Dr","Paradise, PA 17562",,,"Unique Amish Furniture","32 Sandstone Dr","Paradise, PA 17562",,,,,,"Non",,,,"",,,,,,
,"Active","Unique Wood Creations",0.00,0.00,"Unique Wood Creations",,,,,,,,,,,,"Unique Wood Creations","609 Strasburg Road","Paradise, PA 17562",,,"Unique Wood Creations","609 Strasburg Road","Paradise, PA 17562",,,,,,"Non",,,,"",,,,,,
,"Active","Uniquely Styled Design",0.00,0.00,"Uniquely Styled Design",,,,,,,,,,,,"Uniquely Styled Design","1560 Greenview Dr","Celina, OH 45822",,,"Uniquely Styled Design","1560 Greenview Dr","Celina, OH 45822",,,,,,"Non",,,,"",,,,,,
,"Active","USA Gun Cabinets",0.00,0.00,"USA Gun Cabinets",,,,,,,,,,,,"USA Gun Cabinets","PO Box 36","Holtwood, PA 17532",,,"USA Gun Cabinets","PO Box 36","Holtwood, PA 17532",,,,,,"Non",,,,"",,,,,,
,"Active","Valley View Transport",0.00,0.00,"Valley View Transport",,,,,,,,,,,,"Valley View Transport","8211 Township Road 652","Millersburg, OH 44654",,,"Valley View Transport","8211 Township Road 652","Millersburg, OH 44654",,,,,,"Non",,,,"",,,,,,
,"Active","Wana Cabinets",0.00,0.00,"Wana Cabinets",,,,,,,,,,,,"Wana Cabinets","7245 W 200 N","Shipshewana, IN 46565",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Weaver Furniture Sales",1900.00,1900.00,"Weaver Furniture Sales",,,,,,,,,,,,"Weaver Furniture Sales","7870 W 075 N","Shipshewana, IN 46565",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Welcome Amish Furniture",1500.00,1500.00,,,,,,,,,,,,,"Welcome Amish Furniture","10575 Keystone Ave NE","Albertville, MN 55301",,,"Welcome Amish Furniture","10575 Keystone Ave NE","Albertville, MN 55301",,,,,,"Non",,,,"",,,,,,
,"Active","Wheatstate Wood Design",0.00,0.00,"Wheatstate Wood Design",,,,,,,,,,,,"Wheatstate Wood Design","10435 N West Road","Hesston, KS 67062",,,"Wheatstate Wood Design","10435 N West Road","Hesston, KS 67062",,,,,,"Non",,,,"",,,,,,
,"Active","Windy Ridge Furniture",0.00,0.00,"Windy Ridge Furniture",,,,,,,,,,,,"Windy Ridge Furniture.","Dan Swartzentruber","32728 County Road 16","Harmony, MN 55939",,"Windy Ridge Furniture.","Dan Swartzentruber","32728 County Road 16","Harmony, MN 55939",,,,,"Non",,,,"",,,,,,
,"Active","Windy Valley",0.00,0.00,"Windy Valley",,,,,,,,,,,,"Windy Valley","139-A Colonial Road","Gordonville, PA 17529",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Woody's Furniture",0.00,0.00,"Woody's Furniture - MN",,,,,,,,,,,,"Woody's Furniture - MN","5217 Excelsior Blvd","St Louis Park, MN 55416",,,"Woody's Furniture - MN","5217 Excelsior Blvd","St Louis Park, MN 55416",,,,,,"Non",,,,"",,,,,,
,"Active","Y&T Woodcraft",0.00,0.00,"Y&T Woodcraft",,,,,,,,,,,,"Y&T Woodcraft","10861 Lautenschlager Road","Apple Creek, OH 44606",,,"Y&T Woodcraft","10861 Lautenschlager Road","Apple Creek, OH 44606",,,,,,"Non",,,,"",,,,,,
,"Active","Yoder's Indian Creek Furniture",0.00,0.00,"Yoder's Indian Creek Furniture",,,,,,,,,,,,"Yoder's Indian Creek Furniture","22769 Route V64","Milton, IA 52570",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Yoder Furniture",0.00,0.00,"Yoder Furniture",,,,,,,,,,,,"Yoder Furniture","14875 Fremont Dr","Utica, MN 55979",,,"Yoder Furniture","14875 Fremont Dr","Utica, MN 55979",,,,,,"Non",,,,"",,,,,,
,"Active","Zicom Inc C/O Premium Poly Patios",200.00,200.00,"Zicom Inc C/O Premium Poly Patios",,,,,,,,,,,,"Zicom Inc C/O Premium Poly Patios","1200 Falcon Ave","Miami Springs, FL 33166",,,"Zicom Inc C/O Premium Poly Patios","1200 Falcon Ave","Miami Springs, FL 33166",,,,,,"Non",,,,"",,,,,,
